,campus_id,campus_name,dept,difficulty,name,quality,rating_count,retake,tag_accessibleoutsideclass,tag_amazinglectures,tag_bewareofpopquizzes,tag_caring,tag_cleargradingcriteria,tag_extracredit,tag_getreadytoread,tag_givesgoodfeedback,tag_gradedbyfewthings,tag_groupprojects,tag_hilarious,tag_inspirational,tag_lectureheavy,tag_lotsofhomework,tag_participationmatters,tag_respected,tag_skipclassyouwon'tpass,tag_somanypapers,tag_testheavy,tag_toughgrader,tid
0,4753,University of Toledo College of Law,Law,3.4,Rebecca Zietlow,3.1,28,N/A,,,,,,,,,,,,,,,,,,,,,456739
1,4753,University of Toledo College of Law,Law,4.2,Robert Hopperton,2.9,26,N/A,,,,,,,,,,,,,,,,,,,,,356826
2,4753,University of Toledo College of Law,Law,3.4,Ben Davis,3.5,22,N/A,1,1,,,,,,2,,,,1,,,,1,,,,,356829
3,4753,University of Toledo College of Law,Law,3.4,Joseph Slater,4.3,20,N/A,,1,,,,,,,,,,,,,,,,,,,363513
4,4753,University of Toledo College of Law,Law,3.3,Bruce Kennedy,4.0,20,N/A,,,,1,,,,2,,,,,,,1,2,,,,1,456727
5,4753,University of Toledo College of Law,Law,4.5,L Strang,3.4,20,80%,,,,,,,4,1,,,1,,,,2,2,2,,,,589303
6,4753,University of Toledo College of Law,Law,3.9,William Richman,3.8,18,N/A,,,,,,,,,,,,,,,,,,,,,456737
7,4753,University of Toledo College of Law,Law,3.2,Bruce Campbell,2.0,15,N/A,,,,,,,,,,,,,,,,,,,,,568894
8,4753,University of Toledo College of Law,Law,3.7,John Barrett,3.0,14,N/A,,,,,,,,,,,,,,,,,,,,,456728
9,4753,University of Toledo College of Law,Law,3.6,Terrell Allen,2.8,14,N/A,,,,,,,,1,,,,,,,,,,,,2,602096
10,4753,University of Toledo College of Law,Law,3.4,Lee Pizzimenti,3.4,13,N/A,,,,,,,,,,,,,,,,,,,,,363517
11,4753,University of Toledo College of Law,Law,2.5,Robin Kennedy,2.9,13,N/A,,,,,,,,,,,,,,,,,,,,,363518
12,4753,University of Toledo College of Law,Law,4.0,Douglas Chapman,4.3,13,N/A,,,,,,,,,,,,,,,,,,,,,456732
13,4753,University of Toledo College of Law,Law,4.4,Susan Martyn,3.0,12,N/A,,,,,,,,,,1,,,1,1,,,,,,,456730
14,4753,University of Toledo College of Law,Law,3.7,Geoffrey Rapp,4.4,12,N/A,,,,,1,,,1,,,,,,,,1,,,,,904709
15,4753,University of Toledo College of Law,Law,2.7,Shelley Cavalieri,4.1,10,N/A,,,,1,1,,,1,,,,,,,1,1,,,,1,1735969
16,4753,University of Toledo College of Law,Law,3.9,Dennis Parish,4.6,9,N/A,,1,,1,,,2,2,,,,,1,,1,3,3,,,1,1805026
17,4753,University of Toledo College of Law,Law,1.6,Ammar Alo,4.7,9,N/A,,1,,1,1,,,1,,,1,1,,,1,1,,,,,1889161
18,4753,University of Toledo College of Law,Law,4.0,Daniel Steinbock,4.0,8,N/A,,,,,,,,,,,,,,,,,,,,,456738
19,4753,University of Toledo College of Law,Law,2.6,Kelly Moore,4.7,8,N/A,,,,,,,,,,,,,,,,,,,,,894724
20,4755,Big Sandy Community & Technical College Mayo,Communication,1.5,Jeremy Dempsey,4.2,11,N/A,,,,,1,,1,1,,,1,,,1,,1,1,,,,1413089
21,4755,Big Sandy Community & Technical College Mayo,English,2.8,Rebecca Mullins,3.2,5,N/A,,,,,,,1,1,,,,,,,1,1,,,,1,1476072
22,4755,Big Sandy Community & Technical College Mayo,Biology,3.3,Kitty Jennings,3.8,4,N/A,,,,,1,,,1,,,,1,,,1,,,,,1,2017472
23,4755,Big Sandy Community & Technical College Mayo,Biology,4.3,Agus Sofyan,4.5,3,N/A,,,,,,,,,,,,,,,,,,,,,1701797
24,4755,Big Sandy Community & Technical College Mayo,Engineering,5.0,Lesley Cody Varney,1.0,2,N/A,,,1,,,,,,,,,,,,,,,,,,1982628
25,4755,Big Sandy Community & Technical College Mayo,Psychology,2.5,John Cecil,5.0,2,N/A,,,,,,,,,2,,2,1,,,1,,,,,,2371981
26,4755,Big Sandy Community & Technical College Mayo,Medicine,5.0,Conda Little,1.5,1,N/A,,,,,,,,,,,,,,,,,,,,,1351544
27,4755,Big Sandy Community & Technical College Mayo,Computer Science,3.0,Cindy Manning,1.0,1,N/A,,,,,,,,,,,,,,,,,,,,,1614163
28,4755,Big Sandy Community & Technical College Mayo,Biology,3.0,Muhammed Mo Odud,5.0,1,N/A,,,,,,,,1,,,,1,,,,1,,,,,2408696
29,4755,Big Sandy Community & Technical College Mayo,Communication,2.0,Fallon Watson,4.0,1,N/A,,,,,,1,,,,1,,,,,,,,,,,2443376
