,campus_id,campus_name,dept,difficulty,name,quality,rating_count,retake,tag_accessibleoutsideclass,tag_amazinglectures,tag_bewareofpopquizzes,tag_caring,tag_cleargradingcriteria,tag_extracredit,tag_getreadytoread,tag_givesgoodfeedback,tag_gradedbyfewthings,tag_groupprojects,tag_hilarious,tag_inspirational,tag_lectureheavy,tag_lotsofhomework,tag_participationmatters,tag_respected,tag_skipclassyouwon'tpass,tag_somanypapers,tag_testheavy,tag_toughgrader,tid
0,2900,Temple College,English,3.3,Kerry Laird,4.2,246,N/A,,,,1,,,,1,,,,1,,,,,,,,,788460
1,2900,Temple College,Biology,4.1,Jason Locklin,3.4,77,62%,1,9,1,4,5,5,3,5,,,,,12,3,4,3,4,2,7,11,530232
2,2900,Temple College,History,2.2,Doug Hales,4.5,55,91%,,7,,2,1,6,2,,1,,1,3,7,,,5,4,,1,,86556
3,2900,Temple College,Literature,3.9,S. Guzman-Trevino,2.5,50,N/A,,,,,,,6,,1,,,1,,4,1,,5,1,,6,99093
4,2900,Temple College,History,4.0,Gretchen Reilly,2.7,48,43%,,,,,,,5,2,2,,1,,4,2,,,6,,2,13,505780
5,2900,Temple College,English,3.7,Rilley Owens,3.0,46,42%,,1,,1,,,,2,,,1,,,12,5,1,14,5,,17,99097
6,2900,Temple College,Biology,3.4,Scott Clement,4.8,46,100%,,15,,2,5,4,,3,3,,6,1,2,,1,4,12,,1,3,1591751
7,2900,Temple College,Biology,3.0,Ralph Hicks,4.5,44,N/A,,2,2,,,2,1,,,,1,,,1,1,,1,,2,4,504245
8,2900,Temple College,Theater,1.5,AL Alford,4.2,42,N/A,,,,1,2,,,,,,3,,,,1,,,,,,617749
9,2900,Temple College,Biology,3.4,Terry Austin,4.4,41,64%,1,4,,4,2,2,8,3,,,2,1,,5,1,,,,2,2,359024
10,2900,Temple College,Biology,2.9,Eduardo Salazar,3.3,39,N/A,,,1,,,3,1,,,,,,1,,,,1,,1,2,660153
11,2900,Temple College,English,3.8,Esther Guenat,3.1,39,47%,1,,,1,3,2,12,4,,,,,1,10,4,,2,4,1,9,1386067
12,2900,Temple College,Sociology,3.3,S. Warden,3.0,37,67%,5,2,,,,,4,1,,,1,2,2,1,2,,1,1,3,10,580755
13,2900,Temple College,English,3.7,Elaine Herrick,2.8,37,23%,,,,,4,,,1,2,,1,,1,6,1,,13,6,3,17,1142490
14,2900,Temple College,Political Science,3.3,Sandra Creech,3.0,36,25%,,1,,,1,2,5,,,,,1,,3,2,,2,1,2,11,1017486
15,2900,Temple College,English,2.8,John R. Stevens,4.0,36,97%,4,,,3,18,1,5,22,,1,1,,1,,8,8,6,,,2,1420471
16,2900,Temple College,Psychology,3.3,Sharon Burson,3.4,34,N/A,,,,1,1,,3,2,,,,,1,3,3,,,,,2,593777
17,2900,Temple College,Art History,1.6,Virginia Pates,4.8,32,N/A,,,,,1,,1,,,,,,,,,,,,,,1010707
18,2900,Temple College,Biology,3.7,Sudeep Majumdar,3.8,31,93%,4,,,5,6,2,3,6,,,,,3,3,,5,6,,2,4,1590796
19,2900,Temple College,History,2.3,Gene R. Tucker,4.8,31,94%,,10,,2,8,2,2,4,2,,18,4,,,2,5,4,,1,1,1847108
20,2902,Terra Community College,English,2.8,Steve Mohr,4.8,15,N/A,,1,,,,,,1,,,2,,,,,2,,,,,73213
21,2902,Terra Community College,English,3.3,Amy Kalvig,2.8,11,N/A,1,,,,1,,,1,,,,,,,,,,,,,985394
22,2902,Terra Community College,Health Science,2.0,Nicholas Kerlin,4.7,9,N/A,,,,,1,,1,,,,,,1,,,,,,,,1784017
23,2902,Terra Community College,Mathematics,2.1,Michelle Younker,4.3,7,N/A,,,,,,,,,,,,,,,,,,,,,271551
24,2902,Terra Community College,Engineering,2.7,Craig Stinchcomb,4.4,7,N/A,,,,,,,,,,,,,,,,,,,,,711833
25,2902,Terra Community College,Science,4.6,Karen Frederick,2.8,7,N/A,,,,,,,,,,,,,,,,,,,,,1285971
26,2902,Terra Community College,Mathematics,2.6,Nina Schyllander,4.6,7,N/A,,,,1,1,,,,,,1,,,3,,1,1,,,2,1754492
27,2902,Terra Community College,Psychology,3.7,Dena Baker-Becker,2.0,7,40%,,,,1,1,,2,2,,,,,,,,1,1,,1,1,1833022
28,2902,Terra Community College,English,3.3,Michael Ryan,2.7,6,N/A,,,,,,,1,,,,,,1,,,,,1,,,1342526
29,2902,Terra Community College,Marketing,3.8,Steve Stauffer,4.5,6,N/A,,,,,,,,,,,,,,,,,,,,,1774652
30,2902,Terra Community College,Music,3.2,Mike Shirtz,4.1,5,N/A,,,,,,,,,,,,,,,,,,,,,265116
31,2902,Terra Community College,Writing,4.2,Joy Ferkel,2.4,5,N/A,,,,,,,,,,,,,,,,,,,,,988314
32,2902,Terra Community College,Not Specified,2.2,Carol Repass,3.3,5,N/A,,,,,,,,,,,,,,,,,,,,,1006405
33,2902,Terra Community College,English,3.6,Dawn Marie Nohle,2.6,5,N/A,,,,,,,,,,,,,,,,,,,,,1275301
34,2902,Terra Community College,Biology,3.8,Jennifer Humburg,4.2,5,80%,1,1,,1,,,,2,,,,1,1,,2,3,2,,,1,2278769
35,2902,Terra Community College,Computer Science,1.5,Scott Gilbert,3.6,4,N/A,,,,,,,,,,,,,,,,,,,,,139018
36,2902,Terra Community College,Writing,2.0,Kimberly Vogelpohl-Baker,4.6,4,N/A,,,,,,,,,,,,,,,,,,,,,1183728
37,2902,Terra Community College,Mathematics,3.7,Michelle White,2.6,4,N/A,,,,,,,,,,,,,,1,,,,,2,2,1754490
38,2902,Terra Community College,English,3.3,Rick Halstead,4.8,3,N/A,,,,,,,,,,,,,,,,,,,,,684524
39,2902,Terra Community College,Business,2.3,Jolene Meyers,3.7,3,N/A,,,,1,1,,,2,,,,,,,,2,,,,,1332901
40,2903,Texarkana College,Science,4.1,Delbert Dowdy,2.6,18,N/A,,,,,,1,1,,1,1,1,,2,2,2,,4,,,,237472
41,2903,Texarkana College,Social Science,3.2,Candy Smith,3.5,18,N/A,,1,,1,,2,4,2,,,,3,,,3,2,,,,1,667956
